Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_320,899.9907715850773,M5,6371000.0,5.972e+24,100000.0,7.2660285129062485,1.39085763261088,0.048642805270116524,0.666,320.988,Success
run_319,1674.2061389478827,M5,6371000.0,5.972e+24,100000.0,849.1203204107592,2039.2518910570845,0.09884043343259213,0.666,381.47,Success
run_321,615.5956899672725,M5,6371000.0,5.972e+24,100000.0,2587.51877119538,4.035445838360587,0.2987871127254704,0.666,293.425,Success
run_323,1880.516643791399,M5,6371000.0,5.972e+24,100000.0,139.70722404274215,40.22186265413755,0.07597260443384776,0.666,387.345,Success
run_322,1189.8666731012656,M5,6371000.0,5.972e+24,100000.0,11.103431111845003,471.34162170482483,0.20853612908923666,0.666,345.639,Success
run_324,594.8405615813749,M5,6371000.0,5.972e+24,100000.0,8.114431036694025,2447.8596356213484,0.34456173747425534,0.666,290.96,Success
run_327,1068.3393740763302,M5,6371000.0,5.972e+24,100000.0,23.61045495580189,0.8627897829101674,0.4030319654861886,0.666,334.739,Success
run_325,1191.4730867128985,M5,6371000.0,5.972e+24,100000.0,7680.334145076211,942.6919661227502,0.11006311575615436,0.666,350.881,Success
run_326,447.3548411401103,M5,6371000.0,5.972e+24,100000.0,3136.1583491009833,0.16284814099234138,0.28366888483286656,0.666,271.188,Success
run_328,1370.6948745107086,M5,6371000.0,5.972e+24,100000.0,4347.354655191875,1.4288411885563013,0.4405164301008473,0.666,357.438,Success
run_329,698.169800959194,M5,6371000.0,5.972e+24,100000.0,363.93210818943845,358.83374448947364,0.04595598642281107,0.666,303.782,Success
run_330,1574.5259813606935,M5,6371000.0,5.972e+24,100000.0,4843.758682926669,10338.173178728211,0.40478378037694923,0.666,375.638,Success
run_331,1748.8234062737458,M5,6371000.0,5.972e+24,100000.0,9744.078077715347,2.701884871578581,0.29935078106741186,0.666,382.823,Success
