Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_561,677.7109064579037,G2,6371000.0,5.972e+24,22940.224582962946,3.4602749822939304e-06,2.519394503733245e-06,0.12658139749559033,0.25,233.829,Success
run_563,250.59250558160807,G2,6371000.0,5.972e+24,202931.2206924105,5.549167502248916e-06,1.389616766440542e-05,0.03421823571438831,0.25,182.628,Success
run_562,444.32334579684147,G2,6371000.0,5.972e+24,74716.38173385509,9.545841100817275e-06,0.8864737049913909,0.3767484509021941,0.25,216.198,Success
run_564,1449.3629845266726,G2,6371000.0,5.972e+24,51110.50091243267,0.00021069785236313087,0.013991136471684405,0.4862605451822001,0.25,281.25,Success
run_565,1141.2384065497552,G2,6371000.0,5.972e+24,820082.3798518137,5.745228580081687e-05,0.0065633694783179325,0.007191484026511795,0.25,281.298,Success
run_567,181.72642874817655,G2,6371000.0,5.972e+24,970442.0835696976,0.024772425511971712,0.10780559021985435,0.19239012298037167,0.25,195.93,Success
run_566,2371.7417851865225,G2,6371000.0,5.972e+24,401642.39479207067,0.0016872988721011676,0.014072033097627631,0.44740651551067684,0.25,324.792,Success
run_568,1768.0566529955286,G2,6371000.0,5.972e+24,33042.432304158036,0.001636058211311451,0.001605624413569645,0.11848628117168875,0.25,297.822,Success
run_569,2479.8360016437123,G2,6371000.0,5.972e+24,198338.9599245734,7.84602182740825e-06,0.014532789088320317,0.02391935310389496,0.25,331.38,Success
run_570,2004.2669972096655,G2,6371000.0,5.972e+24,844538.462025953,0.0021817336037579273,1.544043765263369e-06,0.3724093205888539,0.25,309.698,Success
run_571,1560.9032021557432,G2,6371000.0,5.972e+24,87838.77145699644,7.646070519762945e-05,0.0002995652875311494,0.41186865057827327,0.25,287.812,Success
run_573,2471.3497235375703,G2,6371000.0,5.972e+24,122167.07677173027,0.006509448652230256,4.437892003819322e-05,0.2984819693411104,0.25,324.271,Success
run_572,2543.753515286806,G2,6371000.0,5.972e+24,75901.07274247722,0.009384202664460085,0.9257127239989335,0.13068743347268602,0.25,343.831,Success
run_575,1260.501583072576,G2,6371000.0,5.972e+24,39467.41362941442,0.00043482525190931666,1.2283158521338487e-05,0.3679855061362405,0.25,273.083,Success
run_574,2208.919116735963,G2,6371000.0,5.972e+24,18277.88343340616,0.0004975254875933674,0.0002201429792246471,0.4939424054190525,0.25,314.017,Success
run_576,690.5635866522287,G2,6371000.0,5.972e+24,565500.961672074,0.020410318878112257,1.079175356373739e-06,0.2024655923498492,0.25,240.259,Success
run_577,2453.108521239229,G2,6371000.0,5.972e+24,15329.075779376924,0.020106830453177415,0.043968386664904,0.3586844856406899,0.25,322.718,Success
run_579,1744.8484751942199,G2,6371000.0,5.972e+24,15881.004730491504,0.007866605150559198,6.711444534599788e-05,0.4079669413830969,0.25,296.167,Success
run_578,1566.208283306063,G2,6371000.0,5.972e+24,450830.1432834651,0.014001760552890307,0.001303871295858001,0.15868613080112917,0.25,296.823,Success
run_581,740.4908695619081,G2,6371000.0,5.972e+24,387704.17352349433,0.001001564474518652,0.0003180536235383403,0.07141428526467326,0.25,242.406,Success
run_580,2039.6774749585124,G2,6371000.0,5.972e+24,47730.997894448104,0.11896492438612859,0.03228838349967621,0.4228586926133881,0.25,308.33,Success
run_582,1585.772590420401,G2,6371000.0,5.972e+24,35767.00547597482,0.2163828096519216,0.0008290151599954362,0.03971734884404813,0.25,292.757,Success
run_583,2003.4473001686022,G2,6371000.0,5.972e+24,68478.1003305623,0.004442521909683855,2.566270869083645e-05,0.1250567727688203,0.25,307.666,Success
run_584,1075.2326249087027,G2,6371000.0,5.972e+24,15189.044900277027,0.0003455162336531392,0.011230761712533852,0.024521693398890525,0.25,263.002,Success
run_585,1043.658064966426,G2,6371000.0,5.972e+24,119421.67690916613,0.041992102029433154,0.14910052836356255,0.18109806808345727,0.25,271.723,Success
